Day,Time,Open Price ask,Open Price bid,High Price ask,High Price bid,Low Price ask,Low Price bid,Close Price ask,Close Price bid,Last Trade Volume
20-08-14,20-08-14T08:18:47,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:18:48,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:18:49,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:18:50,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:18:51,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:18:52,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:18:53,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:18:54,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:18:55,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:18:56,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:18:57,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:18:58,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:18:59,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:00,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:01,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:02,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:03,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:04,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:05,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:06,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:07,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:08,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:09,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:10,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:11,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:12,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:13,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:14,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:15,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:16,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:17,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:18,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:19,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:20,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:21,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:22,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:23,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:24,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:25,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:26,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:27,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:28,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:29,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:30,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:31,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:32,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:33,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:34,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:35,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:36,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:37,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:38,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:39,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:40,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:41,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:42,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:43,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:44,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:45,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:46,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:47,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:48,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:49,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:50,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:51,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:52,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:53,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:54,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:55,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:56,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:57,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:58,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:19:59,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:00,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:01,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:02,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:03,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:04,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:05,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:06,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:07,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:08,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:09,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
